38830	0
46034	0
44608	0
46034	0
46034	0
46034	0
46034	0
46034	0
46034	0
3027	-1138
3027	-1138
14756	0
14014	0
14093	0
3374	0
44934	0
3035	0
41463	0
0	0
0	0
0	0
0	0
0	0
39410	-9474
39210	-9581
39506	-9431
0	0
0	0
0	0
9064	-8159
40832	-10272
44984	-10460
46403	-11252
46651	-11162
41908	-10684
33658	-9862
48958	-11604
48542	-13349
48240	-11068
40938	-12345
45334	-11214
45941	-11286
40225	-10984
41933	-12288
45080	-11391
41870	-12189
44832	-11103
43154	-12734
43390	-10539
40664	-10468
47275	-9976
45216	-11762
43686	-10866
43004	-10586
40242	-11505
46566	-10778
46299	0
44475	-11851
5941	0
45450	-11153
43655	-11247
50533	-10515
42831	-9978
48436	-10817
45991	-10393
48460	-9940
41525	-10969
45266	-11087
39679	-10965
49450	-11126
42953	-12903
48727	-12441
42604	-11715
4356	-2305
43594	-12634
40224	-14371
46922	-12636
47208	-10595
41911	-11741
49616	-11162
49583	-11820
47674	-11099
39935	-10583
46462	-10508
44519	-11234
46145	-10702
47433	-11974
49325	-11535
45308	-9607
0	0
44205	-11489
47085	-11206
45739	-11638
48685	-11921
44148	-10447
8974	0
43069	-10637
45747	-12188
47416	-11679
45078	-11189
49203	-11643
38658	-10431
43519	-11987
46763	-11235
50680	-11369
43746	-11047
46527	-11419
3556	-2612
46343	-12542
47092	-9675
42510	-11307
48215	-11171
47091	-8960
48482	-11675
44946	-11421
47080	-11374
4071	-2464
44586	-11114
50274	-11061
39131	-10018
46253	-11205
42734	-11076
47958	-11268
43295	-11538
47556	-10552
43159	-12470
36697	-10758
35494	-6865
37742	-6748
41749	-7538
40206	-8575
29615	-8695
42769	-7441
37851	-6951
41423	-6834
37516	-5092
37897	-6974
39061	-5902
36473	-8465
35430	-6530
28442	-7234
41202	-7311
35384	-7147
39475	-5696
36805	-8488
32730	-7467
34934	-9494
38416	-6653
37978	-8207
37583	-6382
36241	-6392
34887	-6573
33306	-7435
32476	-3940
23999	-7105
38167	-6670
-4723	2984
34510	-6616
35501	-6265
35416	-7138
30155	-7210
36120	-6477
35511	-7220
36819	-5874
25632	-6550
35385	-7093
28460	-7001
33807	-7112
31587	-8075
32289	-6203
32678	-7182
26890	-6934
-4407	2373
30394	-5929
-4642	2842
39539	-6874
34493	-6619
38260	-7024
16220	-7492
39606	-4654
28453	-6586
34902	-6655
30579	-6471
35160	-6643
25722	-6906
